SCIENTIFIC_NAME,N,COMMON_NAME
Trichoglossus haematodus,16220,Rainbow Lorikeet
Manorina melanocephala,15299,Noisy Miner
Gymnorhina tibicen,14286,Australian Magpie
Corvus coronoides,13757,Australian Raven
Strepera graculina,12533,Pied Currawong
Cacatua galerita,12311,Sulphur-crested Cockatoo
Hirundo neoxena,11538,Welcome Swallow
Malurus cyaneus,9613,Superb Fairywren
Grallina cyanoleuca,9132,Magpie-lark
Dacelo novaeguineae,9110,Laughing Kookaburra
Acridotheres tristis,8608,Common Myna
Cracticus torquatus,8564,Gray Butcherbird
Anthochaera carunculata,8456,Red Wattlebird
Threskiornis molucca,8144,Australian Ibis
Rhipidura leucophrys,7830,Willie-wagtail
Anas superciliosa,7649,Pacific Black Duck
Rhipidura albiscapa,6897,Gray Fantail
Acanthorhynchus tenuirostris,6505,Eastern Spinebill
Vanellus miles,6491,Masked Lapwing
Gallinula tenebrosa,6394,Dusky Moorhen
Ocyphaps lophotes,6215,Crested Pigeon
Streptopelia chinensis,6113,Spotted Dove
Zosterops lateralis,5913,Silver-eye
Phylidonyris novaehollandiae,5735,New Holland Honeyeater
Chroicocephalus novaehollandiae,5692,Silver Gull
Sericornis frontalis,5682,White-browed Scrubwren
Eopsaltria australis,5589,Eastern Yellow Robin
Columba livia,5582,Rock Pigeon
Caligavis chrysops,5570,Yellow-faced Honeyeater
Psophodes olivaceus,5517,Eastern Whipbird
Acanthiza pusilla,5483,Brown Thornbill
Pardalotus punctatus,5439,Spotted Pardalote
Microcarbo melanoleucos,5414,Little Pied Cormorant
Fulica atra,5157,Eurasian Coot
Porphyrio melanotus,5102,Australasian Swamphen
Neochmia temporalis,5021,Red-browed Firetail
Platycercus elegans,4995,Crimson Rosella
Anthochaera chrysoptera,4965,Little Wattlebird
Egretta novaehollandiae,4959,White-faced Heron
Phalacrocorax sulcirostris,4897,Little Black Cormorant
Pachycephala pectoralis,4771,Golden Whistler
Chenonetta jubata,4557,Maned Duck
Coracina novaehollandiae,4273,Black-faced Cuckooshrike
Meliphaga lewinii,4217,Lewin's Honeyeater
Anas castanea,4073,Chestnut Teal
Sturnus vulgaris,3988,European Starling
Eolophus roseicapilla,3982,Galah
Cormobates leucophaea,3730,White-throated Treecreeper
Pycnonotus jocosus,3720,Red-whiskered Bulbul
Alisterus scapularis,3702,Australian King-Parrot
Pelecanus conspicillatus,3493,Australian Pelican
Tachybaptus novaehollandiae,3407,Australasian Grebe
Anas gracilis,3277,Gray Teal
Cacatua sanguinea,3275,Little Corella
Manorina melanophrys,2946,Bell Miner
Gerygone mouki,2867,Brown Gerygone
Phalacrocorax carbo,2855,Great Cormorant
Ptilonorhynchus violaceus,2833,Satin Bowerbird
Colluricincla harmonica,2823,Gray Shrikethrush
Aythya australis,2808,Hardhead
Acanthiza nana,2766,Yellow Thornbill
Eudynamys orientalis,2760,Pacific Koel
Cygnus atratus,2595,Black Swan
Phalacrocorax varius,2569,Pied Cormorant
Platycercus eximius,2510,Eastern Rosella
Anhinga novaehollandiae,2506,Australasian Darter
Malurus lamberti,2483,Variegated Fairywren
Calyptorhynchus funereus,2237,Yellow-tailed Black-Cockatoo
Oriolus sagittatus,2135,Olive-backed Oriole
Acanthiza lineata,2129,Striated Thornbill
Ardea alba,2106,Great Egret
Glossopsitta concinna,1958,Musk Lorikeet
